"k","mse"
2,121435.127338111
2,130594.439991265
2,125610.133913593
2,117959.991734139
2,130935.92635678
2,128044.673608849
2,128466.09294945
2,127799.210241177
2,128865.104904337
2,123420.269226783
2,120129.388176464
2,126319.306245896
2,119834.993358645
2,125034.981301574
2,120156.345353782
2,124000.532516789
2,116029.180117728
2,123769.088365325
2,132764.688221414
2,127536.645065117
2,124167.530736202
2,123635.703028341
2,146762.759551804
2,120825.918527001
2,127831.185004534
2,136476.349966899
2,121553.627560233
2,131362.693233208
2,130739.706000859
2,129082.057249284
5,121308.194611905
5,120140.137889671
5,122136.603026629
5,118529.118410084
5,122331.673976583
5,120541.015625311
5,130040.955919262
5,118691.890223904
5,125226.923916413
5,119394.656688127
5,125041.183746323
5,122495.198125266
5,122053.82925795
5,120570.491564624
5,120001.117394449
5,121351.687080327
5,121138.634729142
5,120610.923966943
5,118047.202853635
5,121160.58855919
5,117974.351762001
5,119090.096482006
5,120737.526439156
5,124152.539587913
5,118100.576360975
5,116519.876228362
5,121883.995488993
5,119412.046300469
5,119108.652388062
5,118480.638921943
10,122309.603379929
10,116551.237101768
10,124943.100528783
10,116847.806533498
10,118734.558588656
10,122485.58250903
10,113745.842204903
10,116201.387163934
10,121885.968578018
10,120297.284197201
10,119154.662595173
10,121453.30844015
10,114623.867373376
10,117796.219304686
10,118933.10771423
10,119643.571870708
10,119143.283457018
10,122644.469891433
10,117525.846837367
10,118879.498647292
10,118091.569830707
10,116008.743778354
10,120083.408983735
10,119277.598560214
10,118697.208798651
10,115327.089012375
10,119754.755304384
10,118027.918175099
10,120310.858743763
10,115921.222118493
